bin_center;count;density;neg_count;neg_density
1,2500;788;0,034706;-788;-0,034706
3,7500;1098;0,048359;-1098;-0,048359
6,2500;1082;0,047655;-1082;-0,047655
8,7500;839;0,036952;-839;-0,036952
11,2500;1192;0,052499;-1192;-0,052499
13,7500;718;0,031623;-718;-0,031623
16,2500;327;0,014402;-327;-0,014402
18,7500;435;0,019159;-435;-0,019159
21,2500;288;0,012684;-288;-0,012684
23,7500;232;0,010218;-232;-0,010218
26,2500;151;0,006651;-151;-0,006651
28,7500;126;0,005549;-126;-0,005549
31,2500;102;0,004492;-102;-0,004492
33,7500;103;0,004536;-103;-0,004536
36,2500;88;0,003876;-88;-0,003876
38,7500;69;0,003039;-69;-0,003039
41,2500;59;0,002599;-59;-0,002599
43,7500;123;0,005417;-123;-0,005417
46,2500;54;0,002378;-54;-0,002378
48,7500;64;0,002819;-64;-0,002819
51,2500;44;0,001938;-44;-0,001938
53,7500;37;0,001630;-37;-0,001630
56,2500;36;0,001586;-36;-0,001586
58,7500;40;0,001762;-40;-0,001762
61,2500;30;0,001321;-30;-0,001321
63,7500;27;0,001189;-27;-0,001189
66,2500;24;0,001057;-24;-0,001057
68,7500;43;0,001894;-43;-0,001894
71,2500;34;0,001497;-34;-0,001497
73,7500;28;0,001233;-28;-0,001233
76,2500;37;0,001630;-37;-0,001630
78,7500;21;0,000925;-21;-0,000925
81,2500;13;0,000573;-13;-0,000573
83,7500;23;0,001013;-23;-0,001013
86,2500;25;0,001101;-25;-0,001101
88,7500;24;0,001057;-24;-0,001057
91,2500;17;0,000749;-17;-0,000749
93,7500;8;0,000352;-8;-0,000352
96,2500;11;0,000484;-11;-0,000484
98,7500;622;0,027395;-622;-0,027395
