bin_center;count;density;neg_count;neg_density
4,4004;11;0,000537;-11;-0,000537
6,6574;79;0,003854;-79;-0,003854
8,9144;70;0,003415;-70;-0,003415
11,1714;238;0,011611;-238;-0,011611
13,4284;245;0,011952;-245;-0,011952
15,6854;870;0,042443;-870;-0,042443
17,9424;438;0,021368;-438;-0,021368
20,1994;645;0,031466;-645;-0,031466
22,4564;688;0,033564;-688;-0,033564
24,7134;483;0,023563;-483;-0,023563
26,9704;684;0,033369;-684;-0,033369
29,2274;443;0,021612;-443;-0,021612
31,4844;470;0,022929;-470;-0,022929
33,7414;350;0,017075;-350;-0,017075
35,9984;367;0,017904;-367;-0,017904
38,2554;382;0,018636;-382;-0,018636
40,5124;397;0,019368;-397;-0,019368
42,7694;274;0,013367;-274;-0,013367
45,0264;457;0,022295;-457;-0,022295
47,2834;267;0,013026;-267;-0,013026
49,5404;142;0,006927;-142;-0,006927
51,7974;115;0,005610;-115;-0,005610
54,0544;112;0,005464;-112;-0,005464
56,3114;105;0,005122;-105;-0,005122
58,5684;85;0,004147;-85;-0,004147
60,8254;78;0,003805;-78;-0,003805
63,0824;92;0,004488;-92;-0,004488
65,3394;87;0,004244;-87;-0,004244
67,5964;47;0,002293;-47;-0,002293
69,8534;55;0,002683;-55;-0,002683
72,1104;42;0,002049;-42;-0,002049
74,3674;53;0,002586;-53;-0,002586
76,6244;72;0,003513;-72;-0,003513
78,8814;56;0,002732;-56;-0,002732
81,1384;34;0,001659;-34;-0,001659
83,3954;7;0,000341;-7;-0,000341
85,6524;15;0,000732;-15;-0,000732
87,9094;14;0,000683;-14;-0,000683
90,1664;2;0,000098;-2;-0,000098
92,4234;11;0,000537;-11;-0,000537
