model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
Model_1000000001;67,557349;31,632653;31,632653
Model_1000000002;56,338431;11,928571;11,928571
Model_1000000003;72,135796;28,938776;28,938776
model_1;25,701766;6,642857;6,642857
model_10;25,730780;7,459184;7,459184
model_100;82,065485;195,744898;100,000000
model_1000;15,248823;2,938776;2,938776
model_10000;28,778900;7,102041;7,102041
model_100000;38,689101;36,275510;36,275510
model_10000000;16,152387;4,591837;4,591837
model_10000001;25,087291;7,112245;7,112245
model_10000002;45,096383;12,571429;12,571429
model_10000003;21,525899;4,897959;4,897959
model_10000004;16,152387;4,591837;4,591837
model_10000005;15,687275;2,377551;2,377551
model_10000006;45,096383;12,571429;12,571429
model_10000007;26,716179;21,193878;21,193878
model_10000008;15,687275;2,377551;2,377551
model_10000009;39,358800;23,326531;23,326531
model_10000010;45,096383;12,571429;12,571429
model_10000011;20,479752;6,591837;6,591837
model_10000012;22,136163;11,428571;11,428571
model_10000013;27,873028;11,744898;11,744898
model_10000014;31,076585;14,897959;14,897959
model_10000015;28,361118;19,051020;19,051020
model_10000016;27,873028;11,744898;11,744898
model_10000017;22,136163;11,428571;11,428571
model_10000018;16,743895;5,306122;5,306122
model_10000019;31,703411;12,653061;12,653061
model_10000020;41,360874;12,295918;12,295918
model_10000021;39,358800;23,326531;23,326531
model_10000022;25,884500;11,173469;11,173469
model_10000023;38,335231;13,234694;13,234694
model_10000024;32,127577;12,173469;12,173469
model_10000025;44,460686;11,867347;11,867347
model_10000026;15,687275;2,377551;2,377551
model_10000027;34,409334;12,591837;12,591837
model_10000028;31,703411;12,653061;12,653061
model_10000029;40,679039;10,193878;10,193878
model_10000030;32,108707;16,530612;16,530612
model_10000031;18,578480;3,214286;3,214286
model_10000032;27,873028;11,744898;11,744898
model_10000033;39,358800;23,326531;23,326531
model_10000034;45,075828;33,346939;33,346939
model_10000035;22,136163;11,428571;11,428571
model_10000036;49,056443;21,346939;21,346939
model_10000037;27,873028;11,744898;11,744898
model_10000038;40,679039;10,193878;10,193878
model_10000039;22,136163;11,428571;11,428571
model_10000040;45,096383;12,571429;12,571429
model_10000041;35,889619;25,183673;25,183673
model_10000042;27,873028;11,744898;11,744898
model_10000043;43,913635;18,163265;18,163265
model_10000044;22,136163;11,428571;11,428571
model_10000045;43,913635;18,163265;18,163265
model_10000046;15,687275;2,377551;2,377551
model_10000047;36,248308;27,224490;27,224490
model_10000048;15,687275;2,377551;2,377551
model_10000049;40,679039;10,193878;10,193878
model_10000050;16,152387;4,591837;4,591837
model_10000051;45,096383;12,571429;12,571429
model_10000052;38,189900;8,530612;8,530612
model_10000053;32,127577;12,173469;12,173469
model_10000054;22,136163;11,428571;11,428571
model_10000055;16,152387;4,591837;4,591837
model_10000056;22,136163;11,428571;11,428571
model_10000057;37,461534;12,826531;12,826531
model_10000058;16,152387;4,591837;4,591837
model_10000059;28,195760;10,224490;10,224490
model_10000060;16,622676;7,704082;7,704082
model_10000061;31,076585;14,897959;14,897959
model_10000062;15,687275;2,377551;2,377551
model_10000063;32,367444;13,357143;13,357143
model_10000064;17,486799;14,561224;14,561224
model_10000065;16,152387;4,591837;4,591837
model_10000066;40,679039;10,193878;10,193878
model_10000067;28,007002;12,102041;12,102041
model_10000068;34,966809;7,510204;7,510204
model_10000069;22,136163;11,428571;11,428571
model_10000070;29,886638;23,020408;23,020408
model_10000071;33,666378;17,510204;17,510204
model_10000072;15,687275;2,377551;2,377551
model_10000073;45,659951;13,275510;13,275510
model_10000074;31,076585;14,897959;14,897959
model_10000075;27,873028;11,744898;11,744898
model_10000076;16,152387;4,591837;4,591837
model_10000077;30,288438;16,285714;16,285714
model_10000078;31,314807;18,428571;18,428571
model_10000079;39,819037;9,132653;9,132653
model_10000080;40,679039;10,193878;10,193878
model_10000081;40,467396;9,959184;9,959184
model_10000082;39,358800;23,326531;23,326531
model_10000083;20,888760;9,000000;9,000000
model_10000084;24,600682;10,500000;10,500000
model_10000085;22,136163;11,428571;11,428571
model_10000087;39,358800;23,326531;23,326531
model_10000088;16,053943;2,734694;2,734694
model_10000089;45,096383;12,571429;12,571429
model_10000090;45,096383;12,571429;12,571429
model_10000091;33,156846;15,040816;15,040816
model_10000092;16,152387;4,591837;4,591837
model_10000093;39,358800;23,326531;23,326531
model_10000094;27,873028;11,744898;11,744898
model_10000095;45,096383;12,571429;12,571429
model_10000096;45,096383;12,571429;12,571429
model_10000097;18,578480;3,214286;3,214286
model_10000098;27,868594;17,520408;17,520408
model_10000099;39,358800;23,326531;23,326531
model_100001;38,140274;26,530612;26,530612
model_10000100;28,361118;19,051020;19,051020
model_10000101;40,467396;9,959184;9,959184
model_10000102;20,075850;9,438776;9,438776
model_10000103;26,349385;12,367347;12,367347
model_10000104;6,289214;1,061224;1,061224
model_10000105;15,687275;2,377551;2,377551
model_10000106;28,361118;19,051020;19,051020
model_10000107;20,297251;8,285714;8,285714
model_10000108;40,679039;10,193878;10,193878
model_10000109;45,096383;12,571429;12,571429
model_10000110;45,096383;12,571429;12,571429
model_10000111;45,506181;12,571429;12,571429
model_10000112;40,679039;10,193878;10,193878
model_10000113;49,056443;21,346939;21,346939
model_10000114;27,873028;11,744898;11,744898
model_10000115;27,873028;11,744898;11,744898
model_10000116;17,330293;3,826531;3,826531
model_10000117;15,687275;2,377551;2,377551
model_10000118;45,291423;12,806122;12,806122
model_10000119;21,202475;4,540816;4,540816
model_10000120;45,096383;12,571429;12,571429
model_10000121;34,875232;10,122449;10,122449
